"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"scid05",473,1460,0.141780821917808,0.348944722515611,0,0.0522260273972603,0,0,1,1,2.05175088994075,2.21119764037659,0.00913230077131374
"scid06",474,1460,0.0417808219178082,0.20015650124786,0,0,0,0,1,1,4.57547295716408,18.9479322245822,0.00523833505075439
"scid07",475,1460,0.178767123287671,0.383288484368406,0,0.098458904109589,0,0,1,1,1.67504564987392,0.806331618163971,0.0100311180985884
"scid08",476,1460,0.0458904109589041,0.209319112998108,0,0,0,0,1,1,4.33594953252167,16.8119748068846,0.00547813155992871
"scid09",477,1460,0.166438356164384,0.372601288216837,0,0.0830479452054795,0,0,1,1,1.78922181698037,1.20213950065033,0.00975142139203118
"scid09a",478,1460,0.0904109589041096,0.286867883541738,0,0,0,0,1,1,2.85363767880437,6.14745999800393,0.00750767564342845
"scid09b",479,1460,0.0904109589041096,0.286867883541738,0,0,0,0,1,1,2.85363767880437,6.14745999800393,0.00750767564342845
"scid09c",480,1460,0.0143835616438356,0.119106639213705,0,0,0,0,1,1,8.14872835907288,64.4459163156031,0.00311716321518875
"scid09d",481,1460,0.00547945205479452,0.0738455327214919,0,0,0,0,1,1,13.3842039464984,177.258326501207,0.00193262592014236
"scid09e",482,1460,0.0219178082191781,0.146465392256485,0,0,0,0,1,1,6.52379010310068,40.5876384687624,0.00383317450693018
"scid09f",483,1460,0.0198630136986301,0.139577283597522,0,0,0,0,1,1,6.8751606706346,45.2988622721076,0.00365290446425509
"scid10",484,1460,0.0547945205479452,0.227656713953106,0,0,0,0,1,1,3.90852118056838,13.285638978749,0.00595804851106664
"scid10a",485,1460,0.0294520547945205,0.169127830934466,0,0,0,0,1,1,5.5605946046163,28.9400357062246,0.00442627763434464
"scid10b",486,1460,0.0253424657534247,0.1572169034837,0,0,0,0,1,1,6.03411485452117,34.4341285041486,0.00411455441594626
"scid10c",487,1460,0.00410958904109589,0.0639961362875529,0,0,0,0,1,1,15.4868962015408,238.006973839603,0.00167485543431244
